subnet,country,datacenter,proxy_type
176.114.32.62/31,ROC,,
176.114.32.64/26,ROC,,
176.114.32.128/25,ROC,,
176.114.33.0/24,ROC,,
176.114.34.0/23,ROC,,
176.114.36.0/22,ROC,,
176.114.40.0/21,ROC,,
176.241.147.97/32,ROC,,
178.34.152.0/23,ROC,,
178.34.154.0/23,ROC,,
178.34.156.0/23,ROC,,
178.34.158.0/24,ROC,,
178.34.159.0/24,ROC,,
178.34.176.0/22,ROC,,
178.34.180.0/23,ROC,,
178.34.182.0/23,ROC,,
178.34.188.0/23,ROC,,
178.159.112.0/20,ROC,,
178.212.64.0/21,ROC,,
178.219.160.0/22,ROC,,
178.219.164.0/23,ROC,,
178.219.166.0/25,ROC,,
178.219.166.128/26,ROC,,
178.219.166.192/26,ROC,,
178.219.167.0/24,ROC,,
178.219.168.0/24,ROC,,
178.219.169.0/24,ROC,,
178.219.170.0/24,ROC,,
178.219.171.0/24,ROC,,
178.219.172.0/24,ROC,,
178.219.173.0/24,ROC,,
178.219.174.0/24,ROC,,
178.219.175.0/24,ROC,,
185.14.16.0/22,ROC,,
185.41.204.0/23,ROC,,
185.64.7.0/24,ROC,,
185.76.82.0/24,ROC,,
185.94.212.0/24,ROC,,
185.94.213.0/24,ROC,,
185.94.214.0/23,ROC,,
185.99.152.0/23,ROC,,
185.99.154.0/23,ROC,,
185.99.156.0/24,ROC,,
185.99.157.0/24,ROC,,
185.99.158.0/24,ROC,,
185.99.159.0/24,ROC,,
185.99.160.0/24,ROC,,
185.99.161.0/25,ROC,,
185.99.161.128/25,ROC,,
185.99.162.0/24,ROC,,
185.99.163.0/24,ROC,,
185.104.212.0/22,ROC,,
185.107.124.0/22,ROC,,
185.107.136.0/24,ROC,,
185.107.137.0/24,ROC,,
185.107.138.0/23,ROC,,
185.107.156.0/23,ROC,,
185.107.158.0/23,ROC,,
185.107.164.0/24,ROC,,
185.107.165.0/24,ROC,,
185.107.166.0/23,ROC,,
185.107.252.0/23,ROC,,
185.107.254.0/23,ROC,,
185.108.212.0/22,ROC,,
185.109.204.0/23,ROC,,
185.109.206.0/24,ROC,,
185.109.207.0/24,ROC,,
185.109.208.0/23,ROC,,
185.111.48.0/22,ROC,,
185.111.164.0/23,ROC,,
185.111.166.0/24,ROC,,
185.111.167.0/25,ROC,,
185.111.167.128/26,ROC,,
185.111.167.192/30,ROC,,
185.111.167.196/31,ROC,,
185.111.167.199/32,ROC,,
185.111.167.200/29,ROC,,
185.111.167.208/28,ROC,,
185.111.167.224/27,ROC,,
185.112.140.0/22,ROC,,
185.112.236.0/23,ROC,,
185.112.238.0/24,ROC,,
185.112.239.0/25,ROC,,
185.112.239.128/26,ROC,,
185.112.239.192/28,ROC,,
185.112.239.208/31,ROC,,
185.112.239.211/32,ROC,,
185.112.239.212/30,ROC,,
185.112.239.216/29,ROC,,
185.112.239.224/27,ROC,,
185.113.72.0/24,ROC,,
185.113.73.0/27,ROC,,
185.113.73.32/30,ROC,,
185.113.73.36/31,ROC,,
185.113.73.39/32,ROC,,
185.113.73.40/29,ROC,,
185.113.73.48/28,ROC,,
185.113.73.64/26,ROC,,
185.113.73.128/25,ROC,,
185.113.74.0/24,ROC,,
185.113.75.0/26,ROC,,
185.113.75.64/28,ROC,,
185.113.75.80/29,ROC,,
185.113.75.88/31,ROC,,
185.113.75.91/32,ROC,,
185.113.75.92/30,ROC,,
185.113.75.96/27,ROC,,
185.113.75.128/25,ROC,,
185.113.78.0/25,ROC,,
185.113.78.128/27,ROC,,
185.113.78.160/31,ROC,,
185.113.78.163/32,ROC,,
185.113.78.164/30,ROC,,
185.113.78.168/29,ROC,,
